ল্প  বিকল্প
ল্ফ  গুল্ফ 
ল্ব  বিল্ব বাল্ব
ল্ভ  প্রগল্ভ
ল্ম  গুল্ম
ল্য  তারল্য
ল্ল  উল্লাস
শ্চ  পুনশ্চ
শ্ছ  শিরশ্ছেদ
শ্ন  প্রশ্ন
শ্ব  বিশ্ব অশ্ব
শ্ম  জীবাশ্ম
শ্য  অবশ্য
শ্র  মিশ্র
শ্ল  অশ্লীল শ্লোক
ষ্ক  শুষ্ক
ষ্ক্ব  নিষ্ক্বাথ
ষ্ক্র  নিষ্ক্রিয়
ষ্ট  কষ্ট
ষ্ট্য  বৈশিষ্ট্য
ষ্ট্র  রাষ্ট্র
ষ্ঠ  শ্রেষ্ঠ
ষ্ঠ্য  নিষ্ঠ্যূত
ষ্ণ  কৃষ্ণ
ষ্ণ্ব  বিষ্ণ্বিন্দ্র
ষ্প  নিষ্পাপ
ষ্প্র  নিষ্প্রয়োজন
ষ্ফ  নিষ্ফল
ষ্ব  মাতৃষ্বসা
ষ্ম  উষ্ম
ষ্য  শিষ্য
স্ক  মনোস্কামনা
স্ক্র  ইস্ক্রু 
স্খ  স্খলন
স্ট  স্টেশন 
স্ট্র  স্ট্রাইক 
স্ত  ব্যস্ত ন্যস্ত
স্ত্ব  বহিস্ত্বক
স্ত্য অস্ত্যর্থ
স্ত্র  স্ত্রী
স্থ  দুঃস্থ
স্থ্য  স্বাস্থ্য
স্ন  স্নান
স্ন্য
স্প  আস্পর্ধা
স্প্র  স্প্রিং 
স্প্ল  স্প্লিন
স্ফ  আস্ফালন
স্ব  স্বর
স্ম  স্মরণ
স্য  শস্য
স্র  অজস্র
স্ল  স্লোগান
হ্ণ  অপরাহ্ণ
হ্ন  চিহ্ন
হ্ব  আহ্বান
হ্ম  ব্রাহ্মণ
হ্য  বাহ্য সহ্য
হ্র  হ্রদ
হ্ল  আহ্লাদ প্রহ্লাদ
